TIC,waiting_time_type,t_prev_btjd,t_curr_btjd,exposure_days,z_global
272349442,interevent,1550.9734990948111,1551.8443506439596,0.8708515491484832,0.130295525386582
272349442,interevent,1551.8443506439596,1551.9651864182358,0.1208357742762018,0.01807927046832144
272349442,interevent,1551.9651864182358,1557.656938701626,4.504252283390088,0.6739195886048285
272349442,interevent,1557.656938701626,1558.019444496147,0.3625057945209846,0.054237582741830395
272349442,interevent,1558.019444496147,1558.6513989590076,0.6319544628606764,0.09455209540516953
272349442,interevent,1558.6513989590076,1559.0194602464956,0.3680612874879898,0.05506878741227645
272349442,interevent,1559.0194602464956,1559.2514082524735,0.2319480059779834,0.034703718826500585
272349442,interevent,1559.2514082524735,1559.3569654147277,0.105557162254172,0.015793307054080906
272349442,interevent,1559.3569654147277,1559.6403030139786,0.2833375992508991,0.0423925540377883
272349442,interevent,1559.6403030139786,1561.3514382494195,1.7111352354409064,0.2560175321813102
272349442,interevent,1561.3514382494195,1561.5306072646026,0.1791690151831062,0.02680700400556895
272349442,interevent,1561.5306072646026,1561.9708906596477,0.4402833950450713,0.0658745527093325
272349442,interevent,1561.9708906596477,1562.2375606202563,0.266669960608624,0.039898766507672025
272349442,interevent,1562.2375606202563,1564.7403649712026,2.502804350946235,0.374465898539455
272349442,interevent,1564.7403649712026,1564.790365414919,0.0500004437164989,0.0074809927018831615
272349442,interevent,1564.790365414919,1564.8556437665763,0.0652783516572981,0.009766850772527593
272349442,interevent,1564.8556437665763,1564.9848115494408,0.1291677828644424,0.019325893314192058
272349442,interevent,1564.9848115494408,1565.490371221612,0.5055596721711026,0.07564109309354924
272349442,interevent,1565.490371221612,1565.5403716061903,0.0500003845784249,0.0074809838537316835
272349442,interevent,1565.5403716061903,1566.3028769194395,0.7625053132492212,0.11408492124405453
272349442,interevent,1566.3028769194395,1566.7112126293475,0.4083357099079876,0.06109458714127254
272349442,interevent,1566.7112126293475,1568.1876063171562,1.4763936878086952,0.22089584776942042
272349442,interevent,1568.1876063171562,1571.6042781197507,2.437505136082791,0.36469592624477054
272349442,interevent,1571.6042781197507,1572.8403932953624,1.236115175611758,0.18494573087932786
