TIC,waiting_time_type,t_prev_btjd,t_curr_btjd,z_hawkes
359641042,interevent,2345.0575846285496,2345.421477168171,0.13938290506982756
359641042,interevent,2345.421477168171,2345.89370399208,0.19973571148470595
359641042,interevent,2345.89370399208,2345.9006485030563,0.003244722680302582
359641042,interevent,2345.9006485030563,2348.0992786505003,0.5887626726086375
359641042,interevent,2348.0992786505003,2348.289557865769,0.09421468743190389
359641042,interevent,2348.289557865769,2352.356248786929,1.9326737498856572
359641042,interevent,2352.356248786929,2352.4506936492603,0.043822927657641696
359641042,interevent,2352.4506936492603,2353.585420376528,0.5609162832229655
359641042,interevent,2353.585420376528,2354.467367666464,0.4509362430456696
359641042,interevent,2354.467367666464,2354.4923677389443,0.013665648726382878
359641042,interevent,2354.4923677389443,2364.024306273904,3.74489704848439
359641042,interevent,2364.024306273904,2367.102066993532,1.0457025426926365
359641042,interevent,2367.102066993532,2369.8742679520724,0.918791599598681
359641042,interevent,2369.8742679520724,2370.061766314892,0.06628792425563544
359641042,interevent,2370.061766314892,2373.3422892802246,1.1930915132597915
359641042,interevent,2373.3422892802246,2376.3672529860464,0.7090451916515409
359641042,interevent,2376.3672529860464,2378.0700067450666,0.5917513515484052
359641042,interevent,2378.0700067450666,2379.239433423168,0.4292761720597357
359641042,interevent,2379.239433423168,2380.9144063038702,0.6432411685750932
359641042,interevent,2380.9144063038702,2383.4643613459907,0.9772106326807862
359690566,initial,1596.7713100183755,1608.1071605137151,0.9403172227294095
359690566,interevent,1608.1071605137151,1608.7099318801013,0.0798820508553926
359690566,interevent,1608.7099318801013,1617.2097792162342,1.1274924218518785
359690566,interevent,1617.2097792162342,1617.455607464324,0.04495101546699652
359690566,interevent,1617.455607464324,1622.348544977511,1.0115960715399044
359690566,interevent,3041.475774390787,3041.900785133966,0.056474269134949656
359690566,interevent,3041.900785133966,3043.6452701783296,0.30726337749420474
359690566,interevent,3043.6452701783296,3044.125836278033,0.10472579898900145
359690566,interevent,3044.125836278033,3045.895317509783,0.4489154425974158
359690566,interevent,3045.895317509783,3050.77734678923,1.1977145539776661
359690566,interevent,3050.77734678923,3056.210742036162,1.251701054731661
359690566,interevent,3056.210742036162,3056.610744084706,0.10214450975264508
359690566,interevent,3056.610744084706,3067.3023995840026,2.4218538852627693
359690566,interevent,3067.3023995840026,3067.6260085824065,0.07290581361161878
359740883,initial,1543.2296664975584,1547.943423509411,0.3910096471216613
359740883,interevent,1547.943423509411,1549.728177646841,0.23248690333522182
359740883,interevent,1549.728177646841,1562.8074989281895,1.6865522084451396
359740883,interevent,1562.8074989281895,1573.6658737494429,1.3775103419572818
359740883,interevent,1573.6658737494429,1576.6130995511182,0.469863824332052
359740883,interevent,1576.6130995511182,1579.0158738238515,0.45839829063758186
359740883,interevent,1579.0158738238515,1588.8380337944477,1.6266134705485005
359740883,interevent,1588.8380337944477,1589.5699724765047,0.14479505187900363
359740883,interevent,2283.6320842508835,2284.022367831564,0.05188685893808043
