TIC,Sector,Orbit,Start_BTJD,End_BTJD
23076771,44,96,2519.4236826677807,2524.4375715572387
23088464,61,129,2962.7938563008797,2969.3332081544213
23088464,61,129,2969.543856302742,2975.1966225081123
23088464,61,130,2975.407270656433,2982.1896780659445
23088464,61,130,2982.400326214265,2988.2244002898224
23193695,4,15,1410.917224333156,1413.2505576666445
23193695,4,15,1413.2713909996671,1418.4797243336216
23193695,4,15,1421.2297243340872,1423.5005576675758
23193695,4,16,1424.5630576680414,1436.833879429381
23443671,65,137,3068.7336248317733,3075.9674095525406
23443671,65,137,3076.178057700861,3083.47435399564
23443671,65,138,3083.685002143495,3087.4674095502123
23443671,65,138,3087.4697243650444,3090.252131771762
23443671,65,138,3090.462779919617,3096.58777991822
23562559,38,83,2333.854319276754,2346.3334859414026
23562559,38,84,2347.2987637189217,2360.5487521416508
23562559,65,137,3068.7336248317733,3075.9674095525406
23562559,65,137,3076.178057700861,3083.47435399564
23562559,65,138,3083.685002143495,3087.4674095502123
23562559,65,138,3087.4697243650444,3090.252131771762
23562559,65,138,3090.462779919617,3096.58777991822
23689332,65,137,3068.7336248317733,3075.9674095525406
23689332,65,137,3076.178057700861,3083.47435399564
23689332,65,138,3083.685002143495,3087.4674095502123
23689332,65,138,3087.4697243650444,3090.252131771762
23689332,65,138,3090.462779919617,3096.58777991822
24069249,38,83,2333.854319276754,2346.3334859414026
24069249,38,84,2347.2987637189217,2360.5487521416508
24297713,32,71,2174.222455819603,2185.9377220263705
24297713,32,72,2186.9446664713323,2200.2293886975385
24401034,5,17,1437.97971276287,1450.1880460991524
24401034,5,18,1451.563046099618,1464.2713678628206
24401034,6,19,1468.2713678642176,1477.0213678670116
24401034,6,20,1478.1047012005,1490.0421896306798
24401034,32,71,2174.222455819603,2185.9377220263705
24401034,32,72,2186.9446664713323,2200.2293886975385
24448282,5,17,1437.97971276287,1450.1880460991524
24448282,5,18,1451.563046099618,1464.2713678628206
24448282,33,73,2201.729388698004,2213.86132157268
24448282,33,74,2215.430766017642,2227.5696549103595
24451239,5,17,1437.97971276287,1450.1880460991524
24451239,5,18,1451.563046099618,1464.2713678628206
24451239,6,19,1468.2713678642176,1477.0213678670116
24451239,6,20,1478.1047012005,1490.0421896306798
24451239,32,71,2174.222455819603,2185.9377220263705
24451239,32,72,2186.9446664713323,2200.2293886975385
24451239,33,73,2201.729388698004,2213.86132157268
24451239,33,74,2215.430766017642,2227.5696549103595
24518895,5,17,1437.97971276287,1450.1880460991524
24518895,5,18,1451.563046099618,1464.2713678628206
24518895,32,71,2174.222455819603,2185.9377220263705
24518895,32,72,2186.9446664713323,2200.2293886975385
24587624,5,17,1437.97971276287,1450.1880460991524
24587624,5,18,1451.563046099618,1464.2713678628206
24587624,6,19,1468.2713678642176,1477.0213678670116
24587624,6,20,1478.1047012005,1490.0421896306798
24587624,32,71,2174.222455819603,2185.9377220263705
24587624,32,72,2186.9446664713323,2200.2293886975385
24587624,33,73,2201.729388698004,2213.86132157268
24587624,33,74,2215.430766017642,2227.5696549103595
24607949,5,17,1437.97971276287,1450.1880460991524
24607949,5,18,1451.563046099618,1464.2713678628206
24607949,6,19,1468.2713678642176,1477.0213678670116
24607949,6,20,1478.1047012005,1490.0421896306798
24607949,32,71,2174.222455819603,2185.9377220263705
24607949,32,72,2186.9446664713323,2200.2293886975385
24608426,5,17,1437.97971276287,1450.1880460991524
24608426,5,18,1451.563046099618,1464.2713678628206
24608426,6,19,1468.2713678642176,1477.0213678670116
24608426,6,20,1478.1047012005,1490.0421896306798
25966549,42,91,2447.687606282532,2460.3056502612308
25966549,42,92,2461.2362058167346,2473.159816926345
25966690,42,91,2447.687606282532,2460.3056502612308
25966690,42,92,2461.2362058167346,2473.159816926345
25966690,43,93,2474.166761370376,2486.1250831289217
25966690,43,94,2487.180638684425,2498.888972017914
26016527,43,93,2474.166761370376,2486.1250831289217
26016527,43,94,2487.180638684425,2498.888972017914
26016527,44,95,2500.1875831289217,2511.7223053518683
26016527,44,96,2513.2014604443684,2519.4167382232845
26016527,44,96,2519.4236826677807,2524.4375715572387
26017840,42,91,2447.687606282532,2460.3056502612308
26017840,42,92,2461.2362058167346,2473.159816926345
26017840,43,93,2474.166761370376,2486.1250831289217
26017840,43,94,2487.180638684425,2498.888972017914
26017840,44,95,2500.1875831289217,2511.7223053518683
26017840,44,96,2513.2014604443684,2519.4167382232845
26017840,44,96,2519.4236826677807,2524.4375715572387
26079243,42,91,2447.687606282532,2460.3056502612308
26079243,42,92,2461.2362058167346,2473.159816926345
26079243,43,93,2474.166761370376,2486.1250831289217
26079243,43,94,2487.180638684425,2498.888972017914
26079418,44,95,2500.1875831289217,2511.7223053518683
26079418,44,96,2513.2014604443684,2519.4167382232845
26079418,44,96,2519.4236826677807,2524.4375715572387
26081408,42,91,2447.687606282532,2460.3056502612308
26081408,42,92,2461.2362058167346,2473.159816926345
