TIC,waiting_time_type,t_prev_btjd,t_curr_btjd,exposure_days,calendar_days,unobserved_days,overlaps_corrupted_orbit,match_type_curr
6743108,interevent,2517.435371049811,2522.838503047329,5.396187553022173,5.403131997518358,0.0069444444961845875,False,exact
6743108,interevent,2522.838503047329,2526.86789228804,2.959944796214586,4.0293892407107705,1.0694444444961846,False,exact
6743108,interevent,2526.86789228804,2528.274921247702,1.4070289596620569,1.4070289596620569,0.0,False,exact
6743108,interevent,2528.274921247702,2530.052799008476,1.7778777607741176,1.7778777607741176,0.0,False,exact
6743108,interevent,2530.052799008476,2535.25305049681,5.2002514883338335,5.2002514883338335,0.0,False,exact
6743108,interevent,2535.25305049681,2543.8561614302707,7.443388710979889,8.603110933460812,1.159722222480923,False,exact
6743108,interevent,2543.8561614302707,2543.979776493888,0.1236150636173079,0.1236150636173079,0.0,False,exact
6743108,interevent,2543.979776493888,2546.8062457496844,2.8264692557963826,2.8264692557963826,0.0,False,exact
6743108,interevent,2546.8062457496844,2547.0756968403566,0.26945109067219164,0.26945109067219164,0.0,False,exact
6743108,final_censored,2547.0756968403566,2550.625059989281,3.5493631489243853,3.5493631489243853,0.0,False,
7242537,initial,1381.7089025736786,1392.4185338052923,10.480464564636577,10.709631231613685,0.22916666697710752,False,exact
7242537,interevent,1392.4185338052923,1394.0949143996002,1.6763805943078296,1.6763805943078296,0.0,False,exact
7242537,interevent,1394.0949143996002,1404.5656457302107,10.19989799712198,10.470731330610533,0.27083333348855376,False,exact
7242537,final_censored,1404.5656457302107,1409.3755576661788,4.809911935968103,4.809911935968103,0.0,False,
7491381,initial,1410.917224333156,1417.2374698471883,6.299412181009757,6.320245514032422,0.0208333330226651,False,exact
7491381,interevent,1417.2374698471883,1421.5556152024208,1.5681453547667843,4.318145355232446,2.7500000004656613,False,exact
7491381,interevent,1421.5556152024208,1425.7987516078006,3.1806364049141393,4.243136405379801,1.0625000004656613,False,exact
7491381,interevent,1425.7987516078006,1428.0821317216864,2.283380113885869,2.283380113885869,0.0,False,exact
7491381,interevent,1428.0821317216864,1428.787700689753,0.7055689680664727,0.7055689680664727,0.0,False,exact
7491381,interevent,1428.787700689753,1431.764140607563,2.976439917810012,2.976439917810012,0.0,False,exact
7491381,interevent,1431.764140607563,1433.0738823072588,1.3097416996959055,1.3097416996959055,0.0,False,exact
7491381,interevent,1433.0738823072588,1433.2919409145852,0.21805860732638394,0.21805860732638394,0.0,False,exact
7491381,interevent,1433.2919409145852,1453.7351748168885,17.92240056834885,20.44323390230329,2.5208333339544424,False,exact
7491381,interevent,1453.7351748168885,1457.275464265138,3.5402894482494958,3.5402894482494958,0.0,False,exact
7491381,interevent,1457.275464265138,1469.001817048346,7.7263527818111015,11.726352783208085,4.000000001396984,False,exact
7491381,interevent,1469.001817048346,1470.5129190909563,1.5111020426102186,1.5111020426102186,0.0,False,exact
7491381,interevent,1470.5129190909563,1482.8947252098876,11.298472785442982,12.381806118931308,1.0833333334883264,False,exact
7491381,interevent,1482.8947252098876,1486.311338865824,3.4166136559363167,3.4166136559363167,0.0,False,exact
7491381,interevent,1486.311338865824,1489.2529489565366,2.9416100907126292,2.9416100907126292,0.0,False,exact
7491381,interevent,1489.2529489565366,2146.9649075163243,3.2400141349983187,657.7119585597877,654.4719444247894,True,exact
7491381,interevent,2146.9649075163243,2151.6066788143708,4.6417712980464785,4.6417712980464785,0.0,False,exact
7491381,interevent,2151.6066788143708,2154.9247965295062,3.318117715135486,3.318117715135486,0.0,False,exact
7491381,interevent,2154.9247965295062,2159.398486714133,3.0639679621458527,4.473690184626776,1.409722222480923,False,exact
7491381,interevent,2159.398486714133,2160.399895806912,1.0014090927788857,1.0014090927788857,0.0,False,exact
7491381,interevent,2160.399895806912,2163.4499488083584,3.0500530014464857,3.0500530014464857,0.0,False,exact
7491381,interevent,2163.4499488083584,2165.2999758521605,1.850027043802129,1.850027043802129,0.0,False,exact
7491381,interevent,2165.2999758521605,2166.0680416041614,0.7680657520008936,0.7680657520008936,0.0,False,exact
7491381,interevent,2166.0680416041614,2167.7083391565657,1.6402975524042631,1.6402975524042631,0.0,False,exact
7491381,interevent,2167.7083391565657,2174.8167453389697,2.8306284034879354,7.108406182403996,4.277777778916061,False,exact
7491381,interevent,2174.8167453389697,2175.3834180402523,0.5666727012826414,0.5666727012826414,0.0,False,exact
7491381,interevent,2175.3834180402523,2175.759810676582,0.3763926363299106,0.3763926363299106,0.0,False,exact
7491381,interevent,2175.759810676582,2176.102869478769,0.34305880218698803,0.34305880218698803,0.0,False,exact
7491381,interevent,2176.102869478769,2179.3251152927555,3.2222458139863193,3.2222458139863193,0.0,False,exact
7491381,interevent,2179.3251152927555,2180.1390083301894,0.8138930374338997,0.8138930374338997,0.0,False,exact
7491381,interevent,2180.1390083301894,2181.0112342231487,0.8722258929592499,0.8722258929592499,0.0,False,exact
7491381,interevent,2181.0112342231487,2184.291796313547,3.2805620903982344,3.2805620903982344,0.0,False,exact
