,TIC,T_peak,T_start,T_end,Amplitude,ED,Primary_or_Secondary,Num_Points,Num_Abv_Threshold,Amp_Sigma
116,252849400.0,2905.91529261261,2905.9111259427696,2905.925014842391,0.011690579840199167,7.908295662403997,primary,10,8,5.001217947786114
117,440731943.0,2482.802360158019,2482.8009711563536,2482.825973186088,0.36081996880205547,303.8302371581952,primary,18,16,16.92119865553433
118,35200229.0,2492.117011297535,2492.1114553320867,2492.129512219154,0.09747346554550984,129.6886104573828,primary,13,8,3.4919738612455853
119,426828805.0,2549.736871597321,2549.735482685767,2549.745205066181,0.39419784418945514,117.4342093017075,primary,7,5,9.634458060167868
120,306927574.0,2362.8072319190396,2362.8058430516207,2362.818342858502,0.12664117061069446,48.66059928168364,primary,9,5,12.499488452330867
121,306927574.0,2384.038773961416,2384.0304408044913,2384.0471071183115,0.1078305699834845,80.23643936626534,primary,12,9,10.642881440666342
122,74279530.0,2260.4193008149505,2260.4179119038563,2260.472079430707,0.05961601490836177,150.75559704670198,primary,39,32,12.176840727681462
123,383664368.0,1520.6363434420705,1520.6307877378558,1520.6530105542488,0.008405579076824266,7.821692012393863,primary,16,5,4.912884272494814
124,383664368.0,1522.508614296666,1522.5044475251111,1522.5183367635868,0.012230494953840765,8.835659554363364,primary,10,8,7.148467197128924
125,383664368.0,1523.1002956970633,1523.0975178508356,1523.1044624664064,0.009708330779540253,3.5270776710437706,primary,5,4,5.674315256932989
126,383664368.0,1528.364298183435,1528.3601314447092,1528.3767983991443,0.011685089014595862,10.050750602531334,primary,12,8,6.829688890893073
127,383664368.0,1528.499022706052,1528.4906892318613,1528.5573570186325,0.0886876258039222,207.1618000850327,primary,48,45,51.83605293516698
128,383664368.0,1528.512911828927,1528.512911828927,1528.5156896535013,0.0070954025975280555,1.8170165986058473,secondary,1,1,4.1471136622254665
129,383664368.0,1540.2103280658905,1540.2075502564494,1540.2353283517882,0.020062803861821576,19.79770816522394,primary,20,15,11.726287106935532
130,452591471.0,2340.2277055226346,2340.224927745625,2340.23464996516,0.03559560930942096,16.619152120697947,primary,6,6,8.00260585194317
131,452591471.0,2340.9485384906257,2340.945760714896,2340.976316247566,0.030441164492750916,39.80455547295648,primary_failed_dbl_fit,21,12,6.843783428232484
132,452591471.0,2344.654086696703,2344.6513089280747,2344.7082531858755,0.08128352826584528,114.13777303447982,primary,41,26,18.274165032895823
133,452591471.0,2346.0957479159692,2346.0790813206186,2346.106858979421,0.02522432716318823,37.37693334757114,primary,18,14,5.670933918078305
134,452591471.0,2347.5387974118526,2347.5387974118526,2347.5457418313263,0.0247614381794945,8.268966658367217,primary,5,3,5.566867204189323
135,452591471.0,2351.684611293063,2351.6818335322346,2351.6873890540064,0.023015232015257236,5.923128290862245,primary,4,3,5.174285086907632
136,452591471.0,2355.381806621112,2355.3804177439,2355.3873621297284,0.03630854699584152,12.39653876152008,primary,5,4,8.16288852197208
137,452591471.0,2356.398464372045,2356.3970754957636,2356.406797629616,0.05933893091015796,25.676510816296553,primary,7,8,13.340580059237825
138,452591471.0,2357.1512351254864,2357.1512351254864,2357.159568379098,0.039590874454263014,13.608856644648105,primary,6,5,8.900821470342924
139,452591471.0,2358.3623341701923,2358.360945295657,2358.36650079368,0.03813392405328009,11.718104750697458,primary,4,5,8.573269841614065
140,452591471.0,2358.9789943236274,2358.9776054496747,2359.0026051803593,0.08861506480781389,41.67062292487679,primary,18,10,19.922441277431542
141,279246259.0,3143.6797509191147,3143.676973149018,3143.7353063198757,0.4907276456548193,640.8870720887927,primary,42,37,28.935287462479224
142,278825715.0,1604.3315505045807,1604.3301616425333,1604.3371059527958,0.01639166254825164,5.631429779299947,primary,5,3,4.202706842275817
143,278825715.0,1606.450953040589,1606.450953040589,1606.457897344144,0.02718228160376701,6.196747600659999,primary,5,3,6.96934557727365
144,278825715.0,1606.570395057865,1606.5676173366237,1606.6162274576627,0.09503789252640704,180.08747923786697,primary,35,31,24.367046357894125
145,278825715.0,1606.5856725246044,1606.584283663999,1606.588450245817,0.017168119234684642,6.08455596833509,secondary,1,1,4.401784868632018
146,278825715.0,1607.313435318375,1607.3064910185603,1607.3551011164914,0.05547194100135333,99.05596573649304,primary,35,25,14.222615022389803
147,278825715.0,1616.799365824224,1616.799365824224,1616.8063101474086,0.019337132993660022,6.148900928833087,primary,5,3,4.957904721575703
148,278825715.0,1619.0590479185935,1619.045159280839,1619.0965472401867,0.04482994711721067,97.16304846047038,primary,37,33,11.494082734668066
149,278825715.0,1619.0729365562597,1619.0715476924956,1619.0729365562597,0.011047182337797334,1.2227623440018847,secondary,1,1,2.8324197537779052
150,278825715.0,1619.3493204328847,1619.3382095237637,1619.3840420236315,0.056544564216243653,95.60333612059286,primary,33,23,14.497628060947278
151,278825715.0,1621.0117896685447,1621.0104008058574,1621.0201228445499,0.019619737348336663,9.269105030425807,primary,7,4,5.030362487928583
152,278825715.0,1622.9298077739927,1622.928418913401,1622.9784178934128,0.4191132111901663,219.6937433090829,primary,36,29,107.45767582587139
153,381949410.0,1438.9536302326428,1438.9508524577495,1439.028630155576,0.1295782084120738,111.9170738328349,primary,53,46,71.63928829752147
154,381949410.0,1438.9939079690032,1438.9911301939921,1438.995296856391,0.011205255165955386,3.064233293902117,secondary,1,1,6.19499617349527
155,381949410.0,1439.059185679751,1439.057796792246,1439.0619634546435,0.008331025484307863,1.6893216586404078,primary,3,3,4.605934468443526
156,381949410.0,1453.3618924661992,1453.3618924661992,1453.36744799227,0.01983278793268406,5.34272153509431,primary,4,4,10.96485921409584
157,381949410.0,1453.4049477929036,1453.3993922668894,1453.481336273359,0.017809024161826947,68.03406252798268,primary,59,48,9.84599055552128
158,381949410.0,1455.121604503111,1455.113271222212,1455.1410488250363,0.030204164171098835,24.976101957811863,primary,20,13,16.69883270771785
159,381949410.0,1460.5451723353303,1460.5410057096371,1460.550727836257,0.0225366390112427,8.281102734196809,primary,7,4,12.459724510538525
160,381949410.0,1462.7395929124998,1462.7354262964095,1462.7576482485993,0.02845346947745675,22.89618232305761,primary,16,15,15.730934452172283
161,381949410.0,1463.1340324480786,1463.1284769634517,1463.220142453581,0.2499190798556159,377.5410440408139,primary,66,63,138.1715740033299
162,278825715.0,2362.7779379393824,2362.7779379393824,2362.795993252607,0.08708939224120926,49.10209099620635,primary,13,9,12.391118414401179
163,278825715.0,2367.679255877848,2367.6750892741375,2367.6834224815584,0.029716466903119132,8.329227419609289,primary,6,3,4.228072452662574
164,278825715.0,2372.609735201547,2372.6069574677585,2372.627790471406,0.044932988476741986,32.72697745979456,primary,15,3,6.393086076271631
165,278825715.0,2376.3110699235017,2376.302736671495,2376.3291253029656,0.02695795956980529,50.450567118068086,primary,19,11,3.8355907722368388
166,278825715.0,2383.6526557558445,2383.6526557558445,2383.662377864269,0.1002671287141188,34.86431393612802,primary,7,7,14.266052764813729
167,278825715.0,2387.8289949692853,2387.826217225135,2387.83038384136,0.02689891983119086,3.9139389010790406,primary,3,3,3.827190571322582
168,100481123.0,1438.6875009752105,1438.6875009752105,1438.693056714754,0.03696789080909224,7.626108803842516,primary,4,3,9.59899609933353
169,100481123.0,1439.336133303349,1439.3333554359056,1439.3541894405673,0.030449033470467013,29.804979260487347,primary,14,11,7.906324843385512
170,100481123.0,1449.7613786616614,1449.7599897533182,1449.8266573528617,0.10921931214939562,128.89025979622141,primary,48,31,28.35963124615395
171,100481123.0,1449.7919346459105,1449.7905457375673,1449.7933235542537,0.027275948516117365,5.327949359472116,secondary,1,1,7.08240902257366
172,100481123.0,1460.6268089686853,1460.6170866884543,1460.735142934889,1.0158454110110213,1733.8628293379331,primary,85,79,263.7720444527601
