Unnamed: 0,TIC,T_peak,T_start,T_end,Amplitude,ED,Primary_or_Secondary,Num_Points,Num_Abv_Threshold,Amp_Sigma,Sector,Orbit,match_type
13292,99324893,3081.511669018106,3081.5061133724635,3081.547780714089,0.0344006722760921,52.09261136409129,primary,30,24,15.708470960220811,65,137,exact
13293,99324893,3085.1269855695778,3085.125596675745,3085.1853191063333,0.0735570262730729,134.08007356269363,primary,43,38,33.58854158015384,65,138,exact
13294,99324893,3085.136707826403,3085.1353189325714,3085.136707826403,0.0098979044325677,0.9448177271460328,secondary,1,1,4.519706565562916,65,138,exact
13295,260351540,1439.3809399596282,1439.3753843274196,1439.461496626769,0.1146487566724601,159.51040167680847,primary,62,50,211.43858349955136,5,17,exact
13296,260351540,1439.3864955918368,1439.3864955918368,1439.3934401320976,0.013654838832352,4.116287048653484,secondary,1,1,25.182652341145875,5,17,exact
13297,260351540,1443.3587701213892,1443.3559923096511,1443.3629368390853,0.0046620855050523,1.7696355283760743,primary,5,5,8.59795416847149,5,17,exact
13298,260351540,1446.486583284515,1446.4838054781897,1446.5338059908845,0.0105909780596926,23.45198881734697,primary_failed_dbl_fit,36,33,19.53219087420037,5,17,exact
13299,260351540,1448.7366041009873,1448.7352152009678,1448.7491042009888,0.0035990971325812,2.335973418178029,primary,10,6,6.637559984748336,5,17,exact
13300,260351540,1452.643579192825,1452.6394124789465,1452.6616349529677,0.006458475892322,6.676803441263897,primary,16,16,11.910909754912364,5,18,exact
13301,260351540,1452.954693828534,1452.9519160192824,1452.9796941113425,0.0051606547688567,5.361531308634805,primary,19,10,9.51743015735105,5,18,exact
13302,260351540,1456.9686247923748,1456.967235890368,1456.9700136943816,0.008749590371238,1.7898361932165117,secondary,1,1,16.136249951503135,5,18,exact
13303,260351540,1456.9783471063076,1456.9644580863535,1457.022791969424,0.0404038212480191,90.8292295061451,primary_failed_dbl_fit,42,43,74.51390647921733,5,18,exact
13304,260351540,1458.8478081286453,1458.8436414275145,1458.8478081286453,0.0022166042903695,0.451025335429323,primary,3,3,4.087926332020484,5,18,exact
13305,260351540,1463.4617254339355,1463.460336541183,1463.468669897812,0.0030275261062704,1.1422637725623723,primary,6,3,5.58345201463054,5,18,exact
13306,253360354,1608.9134288048974,1608.9120399161336,1608.950928803854,0.1360448438699335,213.32472831959888,primary,27,22,13.988773642718195,11,29,exact
13307,253360354,1617.7578270000029,1617.7536603656092,1617.7744935373478,0.0594125338338888,44.58828955553722,primary,15,5,6.109077446089718,11,30,exact
13308,253360354,1618.0856021811126,1618.0842133035246,1618.0953243246952,0.1395013094879751,54.729967272546055,primary,8,7,14.344183768961928,11,30,exact
13309,278825715,1411.5400657298042,1411.537287893198,1411.548399239665,0.014606511577266,7.917924182700942,primary,8,3,3.901848151532352,4,15,exact
13310,278825715,1415.4109816921562,1415.4095927742642,1415.4401489677257,0.0483255263575745,51.56550523559663,primary,22,16,12.909233302742104,4,15,exact
13311,278825715,1424.7333742196015,1424.731985302634,1424.7542079746677,0.0477584912857433,42.6790518244228,primary,16,14,12.757760808082791,4,16,exact
13312,278825715,1426.6403587629504,1426.638969844644,1426.6431365995486,0.0173939594714664,3.585040960945572,primary,3,3,4.646461152107175,4,16,exact
13313,278825715,1428.9654072049714,1428.9654072049714,1428.9695739566898,0.015663361607364,3.0037997267723138,primary,3,3,4.184165275273459,4,16,exact
13314,278825715,1430.954335797367,1430.95016904952,1430.9585025451847,0.0264491627837466,9.130321047073885,primary,6,5,7.065384254921248,4,16,exact
13315,278825715,1434.2918973581288,1434.2891195326629,1434.312731048964,0.0209134175126464,22.280975289190284,primary,17,9,5.586616560175111,4,16,exact
13316,279512574,1677.6695606361354,1677.6515052498612,1677.6959492775668,0.0081830539086131,21.821853989659186,primary_failed_dbl_fit,32,32,19.08614277923335,13,34,exact
13317,179622269,2338.0351082623915,2338.026774652432,2338.058720157899,0.014274077314029,17.458528113522124,primary,23,16,11.27116454683033,38,83,exact
13318,179622269,2342.5644152117857,2342.5630262834666,2342.576915569448,0.0071043136601127,5.905329334889731,primary,10,8,5.609741806339103,38,83,exact
13319,179622269,2348.382605533052,2348.379827715996,2348.407605882834,0.0119098604353282,13.957663358824488,primary,19,12,9.40432041547339,38,84,exact
13320,179622269,2349.053448237851,2349.0520593295564,2349.064559503284,0.0092122249618746,5.21860524038152,primary,9,7,7.274200713881308,38,84,exact
13321,46679622,2469.6570690960184,2469.652902061326,2469.6626251418875,0.1461212009434982,78.56035730541862,primary,6,4,4.477697957522234,42,92,exact
13322,29107362,2448.0747642363285,2448.038649435593,2448.106711942039,0.1313992178597218,425.6614519943704,primary,49,24,5.305080189575596,42,91,exact
13323,29107362,2449.37489512018,2449.3721170662207,2449.376284147188,0.1236652313637798,25.734807097948057,primary,3,4,4.992830092395648,42,91,exact
13324,29107362,2462.010817809584,2462.009428786067,2462.0233190213453,0.3293198973977369,183.03758210986808,primary,10,9,13.29588175770516,42,92,exact
13325,241289894,1601.700067348935,1601.700067348935,1601.722289820618,0.0127031749408876,12.52099065120104,primary,16,12,10.993665210619586,11,29,exact
13326,241289894,1602.502853809476,1602.4931314861471,1602.5459098109916,0.0095472182228195,26.73087477891298,primary,38,30,8.262416389825013,11,29,exact
13327,241289894,1604.859819483023,1604.8542638855913,1604.8764862753176,0.0159137262167141,18.49243328059573,primary,14,13,13.772161612677122,11,29,exact
13328,241289894,1622.7763843731584,1622.7749955076767,1622.8083282768914,0.0076362409458947,13.510403305016496,primary,24,18,6.608605865655012,11,30,exact
13329,241289894,1623.7499775730391,1623.7485887126809,1623.7513664338635,0.0091571002908503,0.7770773982084584,primary,2,3,7.924797963196554,11,30,exact
13330,58281558,2477.9986408976138,2477.9125218106874,2478.037533384976,0.3238261331986591,424.74682909904055,primary,90,54,55.28399307340211,43,93,exact
13331,400598180,2281.9813515393066,2281.978573760444,2281.982740428737,0.0069546820618147,1.5918048135669929,primary,2,3,5.605851006733554,36,79,exact
13332,400598180,2283.689684038864,2283.685517378253,2283.695239586109,0.0077783211470916,3.968160728880346,primary,7,4,6.269748788737991,36,79,exact
13333,400598180,2284.106349989695,2284.106349989695,2284.11190553438,0.0058453744044302,1.947770267125034,primary,4,4,4.711688859182641,36,79,exact
13334,400598180,2285.239680326486,2285.2369025578687,2285.2507914007224,0.0052511143913611,4.127386799243452,primary,10,6,4.232683052315401,36,79,exact
13335,400598180,2285.441068522613,2285.438290754694,2285.448012942293,0.0108197291377001,5.861961194101996,primary,7,7,8.721288613923212,36,79,exact
13336,400598180,2286.2785651244444,2286.27578735932,2286.2785651244444,0.0058327392687844,0.668402246745787,primary,2,3,4.701504254444363,36,79,exact
13337,400598180,2290.3243699481727,2290.3188144465616,2290.327147699096,0.0057170766167959,2.8178037247347767,primary,6,6,4.60827388268501,36,79,exact
