TIC,n_flares,n_primary,n_secondary,first_flare_btjd,last_flare_btjd,n_observed_sectors,has_gap_fallback_sector,exposure_days,obs_start_btjd,obs_end_btjd,flare_rate_per_day
26648243,2,2,0,2479.9575076162632,2490.754212802999,1,False,23.66665509203449,2474.166761370376,2498.888972017914,0.08450708358331305
28832999,3,3,0,2450.707114399965,2469.232438075745,1,False,24.541655088308744,2447.687606282532,2473.159816926345,0.12224114425881376
28873103,1,1,0,2466.2682324360926,2466.2682324360926,1,False,24.541655088308744,2447.687606282532,2473.159816926345,0.040747048086271255
28911340,6,6,0,2452.797556289588,2489.2575947863024,2,False,48.20831018034323,2447.687606282532,2498.888972017914,0.12445986962734236
28998540,8,8,0,2463.7777057071257,2519.0728989574764,3,False,70.97219907166391,2447.687606282532,2524.4375715572387,0.11272019332417797
28999668,4,4,0,2449.573525900108,2496.9982814452687,2,False,48.20831018034323,2447.687606282532,2498.888972017914,0.08297324641822823
29056431,12,11,0,2448.7456009425528,2901.4395503050846,3,False,75.30089120427101,2447.687606282532,2910.048509061802,0.1593606637064525
29059353,5,5,0,2885.6351849766315,2908.38394231387,1,False,27.092581023927778,2882.323983593378,2910.048509061802,0.1845523686201795
29069620,1,1,0,1852.3756943116712,1852.3756943116712,1,False,24.74998843390472,1842.5003724964336,1868.8128609312696,0.040404059285543414
29106824,3,3,0,2470.0267886236693,2490.0367112807908,2,False,48.20831018034323,2447.687606282532,2498.888972017914,0.06222993481367118
29106882,4,4,0,2448.067788590548,2521.7382085733298,3,False,70.97219907166391,2447.687606282532,2524.4375715572387,0.056360096662088986
29107362,8,8,0,2448.0747642363285,2516.583925042717,3,False,70.97219907166391,2447.687606282532,2524.4375715572387,0.11272019332417797
30760081,6,6,0,1428.7929057086162,2383.417970235058,5,False,123.22216433845415,1410.917224333156,2389.715407225769,0.048692538653353046
30959945,3,3,0,1453.5312061479883,1481.142092547231,2,False,45.60414353245892,1437.97971276287,1490.0421896306798,0.06578349613922119
31281820,21,19,2,1439.653079601515,2197.36971276688,3,False,70.60413196543254,1437.97971276287,2200.2293886975385,0.29743301723872906
31281821,1,1,0,1489.4043961330851,1489.4043961330851,1,False,20.68748843297385,1468.2713678642176,1490.0421896306798,0.048338395607564276
31353324,12,12,0,1448.6503995408086,2195.5377038579163,3,False,70.60413196543254,1437.97971276287,2200.2293886975385,0.1699617241364166
31373667,43,41,2,1439.7405176417874,2199.894664265075,3,False,70.60413196543254,1437.97971276287,2200.2293886975385,0.6090295114888262
32068898,45,42,3,1346.930287893996,2376.610969723916,18,False,442.9025925896142,1325.3130924007855,2389.715407225769,0.10160247592340516
32545814,24,23,1,1441.819640900264,2225.812249496949,4,False,94.87495373282604,1437.97971276287,2227.5696549103595,0.2529645502393133
32818831,1,1,0,2990.6163056825567,2990.6163056825567,1,False,25.08563657850027,2988.435048438143,3014.152629461605,0.03986344922404932
32832770,14,14,0,2175.0763571859943,2218.55151728113,2,False,49.27081020036712,2174.222455819603,2227.5696549103595,0.28414389662087763
32874667,20,18,2,2176.1389165815517,2225.7694544282813,2,False,49.27081020036712,2174.222455819603,2227.5696549103595,0.4059198523155395
32874669,32,30,2,1469.4534596024837,2225.769454539807,3,False,69.95829863334097,1468.2713678642176,2227.5696549103595,0.4574153549347372
33006416,3,3,0,2180.723646493744,2221.7139490026198,2,False,49.27081020036712,2174.222455819603,2227.5696549103595,0.060887977847330924
33625968,1,1,0,2123.1542477329567,2123.1542477329567,1,False,26.270821759477712,2115.882201184518,2143.222467388492,0.038065044525652514
33938658,6,6,0,1479.0723832077342,2219.430335112852,2,False,44.95831020036735,1468.2713678642176,2227.5696549103595,0.133456973210505
34819306,4,4,0,2890.596452151668,2909.6588349199446,1,False,27.092581023927778,2882.323983593378,2910.048509061802,0.14764189489614363
34850833,2,2,0,2886.003269748343,2894.750595700878,1,False,27.092581023927778,2882.323983593378,2910.048509061802,0.07382094744807181
34854440,1,1,0,2522.532734688712,2522.532734688712,1,False,22.763888891320676,2500.1875831289217,2524.4375715572387,0.04392922513258602
34870785,6,6,0,2992.194180839037,3020.116707889231,2,False,50.98840278340549,2988.435048438143,3040.8979882597923,0.11767381742643523
